  1 SQL                          108 52.94%
  2 PostgreSQL                    71 34.80%
  3 Linux                         65 31.86%
  4 Git                           62 30.39%
  5 Английский                    49 24.02%
  6 Django Framework              35 17.16%
  7 docker                        33 16.18%
  8 Redis                         18  8.82%
  9 Анализ данных                 17  8.33%
 10 ClickHouse                    16  7.84%
 11 MySQL                         15  7.35%
 12 RabbitMQ                      15  7.35%
 13 flask                         13  6.37%
 14 Tableau                       12  5.88%
 15 ООП                           12  5.88%
 16 Kafka                         11  5.39%
 17 C/C++                         10  4.90%
 18 Kubernetes                    10  4.90%
 19 MongoDB                       10  4.90%
 20 Hadoop                         8  3.92%
 21 Java                           8  3.92%
 22 MS SQL                         8  3.92%
 23 PyTorch                        8  3.92%
 24 REST API                       8  3.92%
 25 Spark                          8  3.92%
 26 pandas                         8  3.92%
 27 Apache Airflow                 7  3.43%
 28 Bash                           7  3.43%
 29 Big Data                       7  3.43%
 30 Data Analysis                  7  3.43%
 31 Machine Learning               7  3.43%
 32 OpenCV                         7  3.43%
 33 asyncio                        7  3.43%
 34 Базы данных                    7  3.43%
 35 Управление проектами           7  3.43%
 36 Celery                         6  2.94%
 37 DWH                            6  2.94%
 38 Javascript                     6  2.94%
 39 Machine Learning               6  2.94%
 40 SCALA                          6  2.94%
 41 computer vision                6  2.94%
 42 fastapi                        6  2.94%
 43 Работа в команде               6  2.94%
 44 A/B тесты                      5  2.45%
 45 API                            5  2.45%
 46 ETL                            5  2.45%
 47 Golang                         5  2.45%
 48 HTML                           5  2.45%
 49 Power BI                       5  2.45%
 50 REST                           5  2.45%
 51 TensorFlow                     5  2.45%
 52 aiohttp                        5  2.45%
 53 Аналитическое мышление         5  2.45%
 54 Информационные технологии      5  2.45%
 55 Математическая статистика      5  2.45%
 56 CSS                            4  1.96%
 57 Data Mining                    4  1.96%
 58 Deep Learning                  4  1.96%
 59 Elasticsearch                  4  1.96%
 60 Nginx                          4  1.96%
 61 Numpy                          4  1.96%
 62 Unix                           4  1.96%
 63 Алгоритмы и структуры данных   4  1.96%
 64 Аналитика                      4  1.96%
 65 Обучение и развитие            4  1.96%
 66 СУБД                           4  1.96%
 67 Agile                          3  1.47%
 68 Atlassian Jira                 3  1.47%
 69 CI/CD                          3  1.47%
 70 Gamedev                        3  1.47%
 71 HTTP                           3  1.47%
 72 Hive                           3  1.47%
 73 MATLAB                         3  1.47%
 74 MS PowerPoint                  3  1.47%
 75 R                              3  1.47%
 76 SOAP                           3  1.47%
 77 Машинное обучение              3  1.47%
 78 Оптимизация кода               3  1.47%
 79 Работа с базами данных         3  1.47%
 80 Разработка ПО                  3  1.47%
 81 .NET Framework                 2  0.98%
 82 Adobe Photoshop                2  0.98%
 83 Amplitude                      2  0.98%
 84 Angular                        2  0.98%
 85 Ansible                        2  0.98%
 86 Apache Nifi                    2  0.98%
 87 BPMN                           2  0.98%
